image_k,new_points,total_points
IMG_20260518_203449.jpg,102,301
IMG_20260518_203443.jpg,80,381
IMG_20260518_203451.jpg,65,446
IMG_20260518_203453.jpg,66,512
IMG_20260518_203455.jpg,54,566
IMG_20260518_203457.jpg,82,648
IMG_20260518_203441.jpg,39,687
IMG_20260518_203510.jpg,26,713
IMG_20260518_203507.jpg,74,787
IMG_20260518_203512.jpg,50,837
IMG_20260518_203514.jpg,127,964
IMG_20260518_203515.jpg,150,1114
IMG_20260518_203517.jpg,123,1237
IMG_20260518_203506.jpg,84,1321
IMG_20260518_203505.jpg,91,1412
