iteration,image,pnp_correspondences,pnp_inliers,pnp_inlier_ratio,coverage_score,mean_track_length,median_reprojection_error_px,p90_reprojection_error_px,hard_gate_passed,score,selected,reason
3,IMG_20260518_203441.jpg,33,26,0.7878787878787878,0.3125,2.0,2.0774284311600315,4.979661040773712,False,0.0,False,below PnP inlier threshold
3,IMG_20260518_203443.jpg,74,67,0.9054054054054054,0.4375,2.0,1.8784712026003179,3.538283691472765,True,67,False,
3,IMG_20260518_203449.jpg,86,79,0.9186046511627907,0.375,2.0,1.8984476295890365,3.602808094560427,True,79,True,
3,IMG_20260518_203451.jpg,46,39,0.8478260869565217,0.3125,2.0,2.551418816267647,4.906414517720746,True,39,False,
3,IMG_20260518_203453.jpg,31,24,0.7741935483870968,0.1875,2.0,1.8270876918306327,3.5266551089559086,False,0.0,False,below PnP inlier threshold
3,IMG_20260518_203455.jpg,41,26,0.6341463414634146,0.125,2.0,1.7558815236476082,3.788944860305963,False,0.0,False,below PnP inlier threshold
3,IMG_20260518_203457.jpg,21,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203505.jpg,5,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203506.jpg,10,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203507.jpg,14,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203510.jpg,33,22,0.6666666666666666,0.1875,2.0,1.9789288771138829,4.293625628855054,False,0.0,False,below PnP inlier threshold
3,IMG_20260518_203512.jpg,26,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203514.jpg,21,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203515.jpg,21,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260518_203517.jpg,19,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
4,IMG_20260518_203441.jpg,52,37,0.7115384615384616,0.3125,2.4324324324324325,2.7077266983705726,5.093204876374167,True,37,False,
4,IMG_20260518_203443.jpg,99,84,0.8484848484848485,0.4375,2.4523809523809526,2.237480818263719,3.58773673449827,True,84,True,
4,IMG_20260518_203451.jpg,87,62,0.7126436781609196,0.375,2.4516129032258065,1.930517761912335,4.30725706602451,True,62,False,
4,IMG_20260518_203453.jpg,59,42,0.711864406779661,0.1875,2.5238095238095237,1.6271795564673817,2.6173760456179878,False,0.0,False,below coverage threshold
4,IMG_20260518_203455.jpg,74,53,0.7162162162162162,0.1875,2.5283018867924527,1.8889512825019383,4.102289490564226,False,0.0,False,below coverage threshold
4,IMG_20260518_203457.jpg,40,26,0.65,0.125,2.5384615384615383,2.1898532744997006,3.530476057095247,False,0.0,False,below PnP inlier threshold
