image_i,image_j,keypoints_i,keypoints_j,raw_matches,filtered_matches,ransac_inliers,inlier_ratio,mean_epipolar_error_all,median_epipolar_error_all,mean_epipolar_error_inliers,median_epipolar_error_inliers,max_epipolar_error_inliers,fundamental_matrix
IMG_20260518_203902.jpg,IMG_20260518_203904.jpg,578,598,578,83,44,0.5301204819277109,9.704962725770297,0.8016109638276636,0.3568858818145629,0.32512991406357467,0.9215853438045826,"[[9.115621144040135e-07, -5.345470845633996e-06, -0.02617139220471987], [3.731628456772575e-06, -1.0743236153943722e-06, -0.011497334566444719], [0.02877005072983, 0.011220544697811115, 1.0]]"
IMG_20260518_203902.jpg,IMG_20260518_203906.jpg,578,521,578,67,27,0.40298507462686567,36.62154998472685,1.551933942362849,0.3513762422545868,0.3602813069966145,0.9128575684051433,"[[4.7551824942932094e-07, 1.8455875579578533e-06, -0.0027822312065758146], [-2.3578321560043714e-06, 3.46600517137969e-07, 0.003414284300336117], [0.002277033099083408, -0.0042663200059760605, 1.0]]"
IMG_20260518_203902.jpg,IMG_20260518_203908.jpg,578,840,578,42,16,0.38095238095238093,80.39951921708602,3.367803048745203,0.14744359659048656,3.4962990203502474e-13,0.639505115469982,"[[4.4605791043279577e-07, 1.4706186270190647e-06, -0.002828926821259337], [-1.5704279319977252e-06, 1.424284937325805e-07, 0.0022892908460009193], [0.002077527091954284, -0.0029824801663160634, 1.0]]"
IMG_20260518_203902.jpg,IMG_20260518_203909.jpg,578,705,578,13,7,0.5384615384615384,109.3744755221557,9.805522011294992e-14,3.8253666321061135e-14,4.188757522457739e-14,9.805522011294992e-14,"[[-2.944844383363951e-06, 3.210725035569111e-06, -0.0019127724272800484], [1.1521736609535047e-06, 5.348611526241497e-06, 0.002075802378331324], [0.0030575899024289223, -0.008239657941128143, 1.0]]"
IMG_20260518_203902.jpg,IMG_20260518_203913.jpg,578,565,578,10,7,0.7,66.18891021590198,3.7049033803430866e-13,3.982324729853757e-13,1.7367297069510653e-13,1.5144002112258133e-12,"[[-3.233744210185655e-06, -1.3778194443863158e-07, 0.0019422585976554023], [5.701365708688583e-07, 2.560316835739776e-06, -0.0029350493463398226], [0.001217604503154061, -0.0016416522981089054, 0.9999999999999999]]"
IMG_20260518_203902.jpg,IMG_20260518_203922.jpg,578,845,578,13,7,0.5384615384615384,171.56866754990122,4.147796309911704e-13,2.392025188791864e-13,2.0688376824654324e-13,4.147796309911704e-13,"[[2.6080143439931547e-08, 6.936035260256684e-07, -0.0003633073829317879], [2.1033800557070907e-07, 5.76928915769939e-07, -0.0003840355528736106], [-0.0011463841198841866, -0.0009904767890779652, 1.0]]"
IMG_20260518_203902.jpg,IMG_20260518_203924.jpg,578,679,578,12,7,0.5833333333333334,90.69181923926341,3.5385644467345773e-13,1.6600087868200858e-13,2.2628084374838563e-13,4.408560251606206e-13,"[[1.365418016389281e-06, 7.856634627698956e-07, -0.0004350212570103099], [4.095367403899959e-07, 1.0673334920212468e-06, -7.366113836685053e-05], [-0.0030944302298275476, -0.001573900855633406, 1.0]]"
IMG_20260518_203902.jpg,IMG_20260518_203926.jpg,578,487,578,17,9,0.5294117647058824,32.50284078436541,0.6736275588473416,0.08568398326389753,1.5092788877274068e-12,0.6736275588473416,"[[4.7033938090351193e-07, -2.5537856045761163e-07, 7.271699169854789e-05], [-5.080612535019208e-07, 1.1759895711976126e-06, -0.0008813742589501446], [0.00023977513051260928, -0.00120982834209288, 1.0]]"
IMG_20260518_203902.jpg,IMG_20260518_203929.jpg,578,965,578,15,10,0.6666666666666666,63.487316605954604,0.37568902361031614,0.16316469893471602,1.3551731404639732e-13,0.683654292136878,"[[6.977148905023176e-05, -0.0002914705366486605, 0.11001881975773159], [-0.00015291127439761378, -1.591935068007919e-05, 0.3480246235638654], [0.0859551436809343, -0.20956737677080955, 1.0]]"
IMG_20260518_203902.jpg,IMG_20260518_203931.jpg,578,1554,578,5,0,0.0,,,,,,
IMG_20260518_203902.jpg,IMG_20260518_203933.jpg,578,2541,578,6,0,0.0,,,,,,
IMG_20260518_203902.jpg,IMG_20260518_203935.jpg,578,2691,578,10,7,0.7,51.05533168711291,3.1742380673697997e-13,1.840257570837798e-13,8.671892560270991e-14,5.019155220678079e-13,"[[1.2136741978042286e-06, 9.75239186118776e-07, -0.0015720738654028698], [-1.328618898890038e-06, 8.000647292705726e-07, -0.0003243869130891794], [0.0010910599162420249, -0.0013268960114384686, 1.0]]"
IMG_20260518_203902.jpg,IMG_20260518_203937.jpg,578,1256,578,3,0,0.0,,,,,,
IMG_20260518_203902.jpg,IMG_20260518_203940.jpg,578,858,578,3,0,0.0,,,,,,
IMG_20260518_203902.jpg,IMG_20260518_203942.jpg,578,681,578,9,7,0.7777777777777778,17.28368501655506,1.394837339428726e-13,1.4393887565335702e-13,1.0867241583569927e-13,3.602982721389339e-13,"[[4.9641760080554446e-05, 3.90673710333495e-05, -0.0552291140228917], [-6.516845296362698e-05, -4.675859847514172e-06, 0.03932432679901009], [0.00850066085798462, -0.008000979215070095, 1.0]]"
IMG_20260518_203902.jpg,IMG_20260518_203946.jpg,578,1193,578,4,0,0.0,,,,,,
IMG_20260518_203902.jpg,IMG_20260518_203948.jpg,578,1215,578,7,0,0.0,,,,,,
IMG_20260518_203904.jpg,IMG_20260518_203906.jpg,598,521,598,37,15,0.40540540540540543,48.91418787431555,4.320937564743599,0.2251723887379971,3.0100390180536466e-13,0.8366860528422772,"[[-5.841021183274453e-06, 2.9434791007852317e-05, 0.012953697900672603], [-2.436788917612825e-05, -1.6267022687281265e-07, 0.003047460854759047], [-0.018690523832198415, -0.0033497489242409776, 1.0]]"
IMG_20260518_203904.jpg,IMG_20260518_203908.jpg,598,840,598,22,10,0.45454545454545453,73.11930132015335,13.076627248669327,0.06756967681172919,1.3565361167783504e-12,0.4142804826717439,"[[4.714358933651442e-07, 1.4300206877974278e-06, -0.0019503324181136695], [-6.742417001347293e-07, -2.885417555652175e-09, 0.0004904231898388913], [0.00028359942800146944, -0.001070422712513285, 1.0]]"
IMG_20260518_203904.jpg,IMG_20260518_203909.jpg,598,705,598,15,8,0.5333333333333333,73.92260609994035,0.5439471475744654,0.06799339344755218,4.187437300712915e-13,0.5439471475744654,"[[8.971639634406738e-06, -3.9826402385167654e-07, -0.004045459613441254], [-5.677775766667916e-07, -4.5932068665984895e-07, 0.0008710769598066377], [-0.0030545488673782697, 0.0004328590481521627, 1.0]]"
IMG_20260518_203904.jpg,IMG_20260518_203913.jpg,598,565,598,8,7,0.875,3.3505644299417723,9.530304940452957e-14,1.3459123707268431e-13,8.90118295794684e-14,3.415164327083641e-13,"[[1.49164031824552e-06, 5.292346160923579e-07, -9.593301490588934e-05], [-1.130585425620527e-06, 1.6359323150843487e-06, -0.0023765530298317065], [0.00041966364883301506, -0.0007052553139862124, 1.0]]"
IMG_20260518_203904.jpg,IMG_20260518_203922.jpg,598,845,598,11,7,0.6363636363636364,54.59643057632073,1.4482732221263037e-13,7.45707036792329e-14,3.4325139760910915e-14,2.2501150614211195e-13,"[[3.374927089571008e-06, 2.645678944787112e-06, -0.001558943502901974], [-2.5506931118865094e-06, 1.244816090902611e-06, -0.0019391289189663993], [0.00027548191214661237, -0.0009572242585620161, 1.0]]"
IMG_20260518_203904.jpg,IMG_20260518_203924.jpg,598,679,598,9,7,0.7777777777777778,29.786190799900055,2.28003642755322e-13,1.9864315598619492e-13,1.9053063679466335e-13,3.504372777558349e-13,"[[-6.470735297300303e-06, 6.254450466747062e-06, -0.0005533979114086862], [-7.547934065755653e-06, 4.804013115798936e-06, -0.0009756638529995266], [0.009211185967410334, -0.007301562545702916, 0.9999999999999999]]"
IMG_20260518_203904.jpg,IMG_20260518_203926.jpg,598,487,598,8,0,0.0,,,,,,
IMG_20260518_203904.jpg,IMG_20260518_203929.jpg,598,965,598,10,7,0.7,87.01809921216775,4.92351512469091e-12,2.11231100739788e-11,3.9734095286822615e-13,1.3761739931560155e-10,"[[1.4028980612039871e-06, -7.073304215137288e-07, -1.202824146812673e-05], [4.046619421917826e-06, -4.969217952333568e-07, -0.0015199189218114814], [-0.00366258670675703, 0.0008401414973152647, 1.0]]"
IMG_20260518_203904.jpg,IMG_20260518_203931.jpg,598,1554,598,10,7,0.7,88.10453297803447,1.1662827447553108e-13,1.0950716826902075e-13,8.210072794606281e-14,3.328458182891693e-13,"[[2.330856394345706e-06, -1.1476448017360957e-07, -0.0013526198819316412], [-2.3050898254739706e-07, 2.0993845118650466e-08, 0.00013060249953881687], [-0.0016485157863176893, -5.095668871060493e-05, 0.9999999999999999]]"
IMG_20260518_203904.jpg,IMG_20260518_203933.jpg,598,2541,598,4,0,0.0,,,,,,
IMG_20260518_203904.jpg,IMG_20260518_203935.jpg,598,2691,598,8,7,0.875,55.52347580896328,5.4889348104547954e-14,1.1881070470633644e-13,0.0,4.4699701258796443e-13,"[[-8.192583631001569e-07, -4.311929333872054e-07, 0.0006510334211308066], [-4.640182541700986e-09, 1.4118864585318086e-06, -0.001377228544926445], [0.0002516367525700458, -0.0010965589071026969, 0.9999999999999999]]"
IMG_20260518_203904.jpg,IMG_20260518_203937.jpg,598,1256,598,3,0,0.0,,,,,,
IMG_20260518_203904.jpg,IMG_20260518_203940.jpg,598,858,598,10,0,0.0,,,,,,
IMG_20260518_203904.jpg,IMG_20260518_203942.jpg,598,681,598,3,0,0.0,,,,,,
IMG_20260518_203904.jpg,IMG_20260518_203946.jpg,598,1193,598,3,0,0.0,,,,,,
IMG_20260518_203904.jpg,IMG_20260518_203948.jpg,598,1215,598,7,0,0.0,,,,,,
IMG_20260518_203906.jpg,IMG_20260518_203908.jpg,521,840,521,77,34,0.44155844155844154,17.412980477861616,1.4128195041937623,0.30008636098572117,0.177668417531253,0.9516443687646898,"[[9.082316846126141e-07, 4.717499671143093e-06, -0.018724125045537703], [-4.082165852647737e-06, -2.172325242227344e-07, 0.007809134980277324], [0.017137017695828326, -0.008374035986312143, 1.0]]"
IMG_20260518_203906.jpg,IMG_20260518_203909.jpg,521,705,521,32,16,0.5,24.99700620809835,0.987683908866888,0.23449258111340832,0.010831752443208047,0.8360643719064766,"[[9.32206275266127e-07, 4.513375805279181e-06, -0.01223938552336825], [-4.0487603224507155e-06, -2.195910775824527e-07, 0.005256937236700305], [0.010526739194599264, -0.0053643736461056035, 1.0]]"
IMG_20260518_203906.jpg,IMG_20260518_203913.jpg,521,565,521,17,9,0.5294117647058824,68.79002476150205,0.3038165703936658,0.050712957238738726,3.6597234281965506e-13,0.3038165703936658,"[[4.3637342630628116e-05, 4.365818374619793e-05, -0.04536497752066172], [-9.500089115429716e-05, 1.8532170743509956e-05, 0.002841036560769378], [0.05632330330975611, -0.014165708136120506, 1.0]]"
IMG_20260518_203906.jpg,IMG_20260518_203922.jpg,521,845,521,9,7,0.7777777777777778,82.10569167662028,1.960817848456357e-13,1.7037457879627984e-13,1.8747341501221114e-13,3.7605877072890154e-13,"[[-9.815306095125399e-07, -1.9848056451480957e-06, 0.0022927173190788767], [3.5155897133131647e-06, 7.280393774253869e-08, -0.0009419772879412319], [-0.002562150265782084, -0.0003564724085403708, 0.9999999999999999]]"
IMG_20260518_203906.jpg,IMG_20260518_203924.jpg,521,679,521,13,7,0.5384615384615384,53.82964719657255,1.3861140541918046e-13,4.999501180205953e-14,0.0,1.3861140541918046e-13,"[[-2.4546872750199035e-09, 3.736365150982537e-07, -1.3123256414120755e-05], [2.3137562330215622e-07, 1.3934921576413019e-06, -0.0030728346823909462], [-8.183842940562831e-05, 0.0002451063995207401, 1.0]]"
IMG_20260518_203906.jpg,IMG_20260518_203926.jpg,521,487,521,12,7,0.5833333333333334,102.61003076062364,3.705037067553037e-13,1.5190967515829805e-13,1.4838045554532914e-13,5.367945612760675e-13,"[[4.862550591302877e-06, -4.45735350987306e-07, -0.005379488509997368], [7.171010484792796e-07, -1.121111112486876e-06, -0.0009102942475953054], [-0.0006241449220631241, 0.002850018965651778, 1.0]]"
IMG_20260518_203906.jpg,IMG_20260518_203929.jpg,521,965,521,7,0,0.0,,,,,,
IMG_20260518_203906.jpg,IMG_20260518_203931.jpg,521,1554,521,8,0,0.0,,,,,,
IMG_20260518_203906.jpg,IMG_20260518_203933.jpg,521,2541,521,3,0,0.0,,,,,,
IMG_20260518_203906.jpg,IMG_20260518_203935.jpg,521,2691,521,6,0,0.0,,,,,,
